,timestamp,open,high,low,close,volume
100,1766867220000,87528.3,87528.3,87491.6,87496.0,19.395
101,1766867280000,87496.1,87504.3,87496.1,87504.2,6.673
102,1766867340000,87504.3,87504.3,87504.2,87504.2,3.616
103,1766867400000,87504.2,87504.3,87496.2,87496.2,3.683
104,1766867460000,87496.2,87500.4,87496.2,87500.4,4.59
105,1766867520000,87500.3,87500.4,87500.3,87500.4,1.977
106,1766867580000,87500.4,87500.4,87500.3,87500.3,4.138
107,1766867640000,87500.3,87515.8,87500.3,87515.8,6.887
108,1766867700000,87515.8,87515.8,87505.5,87505.5,3.355
109,1766867760000,87505.5,87505.6,87505.5,87505.5,2.611
110,1766867820000,87505.5,87505.6,87505.5,87505.5,1.42
111,1766867880000,87505.5,87505.6,87505.5,87505.6,4.98
112,1766867940000,87505.5,87505.6,87505.5,87505.5,5.213
113,1766868000000,87505.5,87505.6,87491.7,87491.7,10.043
114,1766868060000,87491.8,87491.8,87479.9,87479.9,15.828
115,1766868120000,87479.9,87498.6,87479.9,87498.5,13.989
116,1766868180000,87498.6,87507.8,87498.6,87507.7,5.098
117,1766868240000,87507.8,87507.8,87507.7,87507.8,5.669
118,1766868300000,87507.7,87507.8,87507.7,87507.7,5.146
119,1766868360000,87507.7,87507.8,87507.7,87507.8,6.388
120,1766868420000,87507.8,87507.8,87507.7,87507.7,3.754
121,1766868480000,87507.7,87507.8,87507.7,87507.7,3.196
122,1766868540000,87507.8,87507.8,87507.7,87507.7,2.634
123,1766868600000,87507.7,87507.8,87507.7,87507.7,1.892
124,1766868660000,87507.7,87507.8,87506.0,87506.1,5.216
125,1766868720000,87506.1,87506.1,87506.0,87506.0,4.402
126,1766868780000,87506.0,87506.1,87506.0,87506.1,3.802
127,1766868840000,87506.0,87506.1,87506.0,87506.1,4.553
128,1766868900000,87506.0,87506.1,87500.0,87500.0,3.309
129,1766868960000,87500.0,87500.1,87500.0,87500.1,2.229
130,1766869020000,87500.1,87500.1,87500.0,87500.1,2.185
