,timestamp,open,high,low,close,volume
131,1766869080000,87500.1,87511.6,87500.0,87511.6,3.68
132,1766869140000,87511.6,87514.9,87511.5,87514.9,2.323
133,1766869200000,87514.9,87514.9,87514.8,87514.8,1.967
134,1766869260000,87514.9,87517.9,87512.7,87512.8,20.225
135,1766869320000,87512.7,87527.0,87512.7,87517.4,10.719
136,1766869380000,87517.5,87517.5,87513.0,87513.1,6.788
137,1766869440000,87513.0,87519.6,87513.0,87519.6,6.3
138,1766869500000,87519.6,87552.9,87519.6,87552.8,21.495
139,1766869560000,87552.9,87552.9,87545.1,87545.1,18.41
140,1766869620000,87545.1,87554.6,87545.1,87554.3,14.396
141,1766869680000,87554.3,87554.4,87554.3,87554.3,9.321
142,1766869740000,87554.4,87554.4,87554.3,87554.4,6.343
143,1766869800000,87554.4,87554.4,87554.3,87554.3,5.118
144,1766869860000,87554.4,87558.6,87554.3,87558.5,4.211
145,1766869920000,87558.5,87571.8,87558.5,87571.7,17.632
146,1766869980000,87571.8,87588.9,87571.7,87584.4,25.782
147,1766870040000,87584.4,87584.4,87573.5,87573.6,21.031
148,1766870100000,87573.5,87584.3,87573.5,87578.1,12.453
149,1766870160000,87578.1,87578.1,87568.3,87568.4,8.0
150,1766870220000,87568.3,87568.4,87568.3,87568.3,5.098
151,1766870280000,87568.4,87589.2,87568.4,87589.2,30.033
152,1766870340000,87589.2,87589.2,87584.7,87584.8,9.392
153,1766870400000,87584.7,87584.8,87584.7,87584.8,4.04
154,1766870460000,87584.8,87590.2,87571.9,87590.2,34.026
155,1766870520000,87590.1,87590.2,87590.1,87590.2,8.516
156,1766870580000,87590.2,87591.3,87584.8,87584.9,26.275
157,1766870640000,87584.8,87584.9,87584.8,87584.8,6.62
158,1766870700000,87584.9,87585.1,87584.8,87585.1,8.58
159,1766870760000,87585.0,87594.4,87585.0,87585.8,16.6
160,1766870820000,87585.7,87587.2,87585.7,87587.2,21.254
161,1766870880000,87587.2,87593.3,87587.1,87593.2,2.662
162,1766870940000,87593.1,87593.2,87593.1,87593.2,8.0
163,1766871000000,87593.1,87593.2,87593.1,87593.1,4.243
164,1766871060000,87593.1,87616.0,87593.1,87616.0,66.477
165,1766871120000,87616.0,87616.0,87608.8,87608.9,21.668
166,1766871180000,87608.9,87620.0,87608.9,87620.0,18.393
167,1766871240000,87619.9,87620.0,87619.7,87619.8,11.215
168,1766871300000,87619.7,87633.0,87617.6,87627.0,19.218
169,1766871360000,87627.1,87627.1,87627.0,87627.1,10.977
170,1766871420000,87627.1,87627.1,87627.0,87627.1,6.8
171,1766871480000,87627.0,87627.1,87623.0,87623.0,8.888
172,1766871540000,87623.0,87623.1,87618.0,87618.0,12.609
173,1766871600000,87618.1,87618.1,87585.8,87585.9,23.371
174,1766871660000,87585.8,87592.5,87585.8,87592.4,9.327
175,1766871720000,87592.4,87592.5,87592.4,87592.4,4.292
176,1766871780000,87592.5,87592.5,87592.4,87592.5,4.219
177,1766871840000,87592.4,87592.5,87592.4,87592.4,4.196
178,1766871900000,87592.5,87597.7,87592.4,87597.6,10.289
179,1766871960000,87597.7,87597.7,87597.6,87597.6,1.938
180,1766872020000,87597.7,87597.7,87597.6,87597.7,5.789
181,1766872080000,87597.6,87615.4,87597.6,87615.2,25.61
182,1766872140000,87615.2,87615.2,87607.3,87607.4,13.922
183,1766872200000,87607.4,87607.4,87607.3,87607.3,3.219
184,1766872260000,87607.3,87607.4,87607.3,87607.4,10.025
185,1766872320000,87607.3,87607.4,87607.3,87607.4,12.973
186,1766872380000,87607.4,87623.5,87607.4,87623.5,9.647
187,1766872440000,87623.5,87623.5,87623.4,87623.4,5.299
188,1766872500000,87623.4,87623.5,87623.4,87623.4,3.907
189,1766872560000,87623.5,87623.5,87623.4,87623.4,2.939
190,1766872620000,87623.4,87623.5,87623.4,87623.5,4.365
191,1766872680000,87623.5,87627.1,87623.4,87623.6,12.432
192,1766872740000,87623.5,87623.6,87623.5,87623.5,5.119
193,1766872800000,87623.5,87629.1,87623.5,87629.0,10.971
194,1766872860000,87629.1,87629.1,87629.0,87629.0,6.084
195,1766872920000,87629.0,87629.1,87620.4,87620.4,9.175
196,1766872980000,87620.3,87620.3,87615.2,87615.3,9.027
197,1766873040000,87615.3,87621.0,87615.2,87620.9,6.908
198,1766873100000,87621.0,87621.0,87615.0,87615.1,8.539
199,1766873160000,87615.1,87615.1,87585.2,87585.2,78.199
